target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-1-3,reactant-2-3,reaction-product-smiles-3,reaction-name-3,reaction-recipe-3,reaction-groupby-column-3
C94891,1,,,,N#CCC(=O)O,CC(=O)c1cc(Cl)c(N)c(Cl)c1,CC(=O)c1cc(Cl)c(NC(=O)CC#N)c(Cl)c1,Amidation,,,,,,,,,,,,,,
C101152,1,,,,O=C(O)C1CNC1,Nc1ccc(C=O)cc1,O=Cc1ccc(NC(=O)C2CNC2)cc1,Amidation,,,,,,,,,,,,,,
C20444,1,,,,c1ccc(CNC2CCCNC2)cc1,CCC1(C(=O)O)CCNC1=O,CCC1(C(=O)N2CCCC(NCc3ccccc3)C2)CCNC1=O,Amidation,,,,,,,,,,,,,,
C20445,1,,,,c1ccc(CNC2CCCNC2)cc1,CCC1(C(=O)O)CCNC1=O,CCC1(C(=O)N(Cc2ccccc2)C2CCCNC2)CCNC1=O,Amidation,,,,,,,,,,,,,,
C101155,1,,,,O=C(O)CO,NNc1ccc(C(N)=O)cc1,NC(=O)c1ccc(N(N)C(=O)CO)cc1,Amidation,,,,,,,,,,,,,,
C101156,1,,,,O=C(O)CO,NNc1ccc(C(N)=O)cc1,NC(=O)c1ccc(NNC(=O)CO)cc1,Amidation,,,,,,,,,,,,,,
C113746,1,,,,NC(=O)c1cc(N)[nH]n1,CC12CCC(C(=O)O)(OC1=O)C2(C)C,CC12CCC(C(=O)Nc3cc(C(N)=O)n[nH]3)(OC1=O)C2(C)C,Amidation,,,,,,,,,,,,,,
C105268,1,,,,NC(CCl)C(=O)O,NNc1ccc(C(N)=O)cc1,NC(=O)c1ccc(NNC(=O)C(N)CCl)cc1,Amidation,,,,,,,,,,,,,,
C105269,1,,,,NC(CCl)C(=O)O,NNc1ccc(C(N)=O)cc1,NC(=O)c1ccc(N(N)C(=O)C(N)CCl)cc1,Amidation,,,,,,,,,,,,,,
C63153,1,,,,O=C1NCC2CCNCC12,O=C(O)C1C=CCO1,O=C1NCC2CCN(C(=O)C3C=CCO3)CC12,Amidation,,,,,,,,,,,,,,
C65270,1,,,,O=C1CCc2cc(O)ccc21,CC=CCI,CC=CCOc1ccc2c(c1)CCC2=O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C65271,1,,,,CCC(=O)c1ccc(O)cc1,CC=CCI,CC=CCOc1ccc(C(=O)CC)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
