,1_product_smiles
144,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H]2C[C@@H](C1)C(=O)N2
145,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H]2C[C@@H](C1)C(=O)N2
146,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H]2C[C@@H](C1)C(=O)N2
147,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H]2C[C@@H](C1)C(=O)N2
148,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H]2C[C@@H](C1)C(=O)N2
149,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H]2C[C@@H](C1)C(=O)N2
150,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H]2C[C@@H](C1)C(=O)N2
151,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H]2C[C@@H](C1)C(=O)N2
152,CSc1cc(C)ccc1CC(=O)N1CCC[C@H](C(N)=O)C1
153,CSc1cc(C)ccc1CC(=O)N1CCC[C@@H](C(N)=O)C1
154,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1CCC[C@H](C(N)=O)C1
155,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1CCC[C@H](C(N)=O)C1
156,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1CCC[C@H](C(N)=O)C1
157,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1CCC[C@H](C(N)=O)C1
158,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1CCC[C@@H](C(N)=O)C1
159,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1CCC[C@@H](C(N)=O)C1
160,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1CCC[C@@H](C(N)=O)C1
161,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1CCC[C@@H](C(N)=O)C1
162,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3c(Br)cccc32)[C@@H]2C[C@@H]21
163,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3c(Br)cccc32)[C@@H]2C[C@H]12
164,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3c(Br)cccc32)[C@@H]2C[C@@H]21
